1|31761|Land||Abandoned Outpost enters the battlefield tapped. <symbol>Tap</symbol> : Add  <symbol>White</symbol>  to your mana pool. <symbol>Tap</symbol> , Sacrifice Abandoned Outpost: Add one mana of any color to your mana pool.|Abandoned Outpost|
2|1|1|116725|Legendary Land||<symbol>Tap</symbol> : Add  <symbol>1</symbol>  to your mana pool. <symbol>1</symbol> <symbol>Blue</symbol> ,  <symbol>Tap</symbol> : Put target artifact card from your graveyard on top of your library.|Academy Ruins|
3|1|1|209046|Artifact  — Equipment||Equipped creature gets +0/+3 and has vigilance. Equip  <symbol>3</symbol>|Accorder's Shield|<symbol>0</symbol>
4|1|1|129458|Land||<symbol>Tap</symbol> : Add  <symbol>1</symbol>  to your mana pool. <symbol>Tap</symbol> : Add  <symbol>White</symbol>  or  <symbol>Blue</symbol>  to your mana pool. Adarkar Wastes deals 1 damage to you.|Adarkar Wastes|
5|1|1|1698|Land||Green legendary creatures you control have "bands with other legendary creatures."  (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Adventurers' Guildhouse|
6|1|1|189638|Land||Akoum Refuge enters the battlefield tapped. When Akoum Refuge enters the battlefield, you gain 1 life. <symbol>Tap</symbol> : Add  <symbol>Black</symbol>  or  <symbol>Red</symbol>  to your mana pool.|Akoum Refuge|
7|1|1|189244|Sorcery||Ancestral Vision is blue. Suspend 4— <symbol>Blue</symbol>   (Rather than cast this card from your hand, pay  <symbol>Blue</symbol>  and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.) Target player draws three cards.|Ancestral Vision|
8|1|1|153454|Land||As Ancient Amphitheater enters the battlefield, you may reveal a Giant card from your hand. If you don't, Ancient Amphitheater enters the battlefield tapped. <symbol>Tap</symbol> : Add  <symbol>Red</symbol>  or  <symbol>White</symbol>  to your mana pool.|Ancient Amphitheater|
9|1|1|205275|Artifact Land||(Ancient Den isn't a spell.) <symbol>Tap</symbol> : Add  <symbol>White</symbol>  to your mana pool.|Ancient Den|
10|1|1|23236|Land||Ancient Spring enters the battlefield tapped. <symbol>Tap</symbol> : Add  <symbol>Blue</symbol>  to your mana pool. <symbol>Tap</symbol> , Sacrifice Ancient Spring: Add  <symbol>White</symbol> <symbol>Black</symbol>  to your mana pool.|Ancient Spring|
11|1|1|4636|Land||<symbol>Tap</symbol> : Add  <symbol>2</symbol>  to your mana pool. Ancient Tomb deals 2 damage to you.|Ancient Tomb|
12|1|1|207930|Land||<symbol>Tap</symbol> : Add one mana of any color to your mana pool. Spend this mana only to cast creature spells.|Ancient Ziggurat|
13|1|1|3035|Land||<symbol>Tap</symbol> : Add  <symbol>1</symbol>  to your mana pool. <symbol>1</symbol> ,  <symbol>Tap</symbol> : Add  <symbol>Green</symbol>  to your mana pool. <symbol>2</symbol> ,  <symbol>Tap</symbol> : Add  <symbol>Red</symbol>  or  <symbol>White</symbol>  to your mana pool.|An-Havva Township|
14|1|1|175128|Land||Arcane Sanctum enters the battlefield tapped. <symbol>Tap</symbol> : Add  <symbol>White</symbol> ,  <symbol>Blue</symbol> , or  <symbol>Black</symbol>  to your mana pool.|Arcane Sanctum|
15|1|1|23245|Land||<symbol>Tap</symbol> : Add  <symbol>1</symbol>  to your mana pool. <symbol>Tap</symbol> , Sacrifice Archaeological Dig: Add one mana of any color to your mana pool.|Archaeological Dig|
16|1|1|121158|Snow Land||Arctic Flats enters the battlefield tapped. <symbol>Tap</symbol> : Add  <symbol>Green</symbol>  or  <symbol>White</symbol>  to your mana pool.|Arctic Flats|
17|1|1|109739|Land||<symbol>3</symbol> ,  <symbol>Tap</symbol> : Tap target creature you control and target creature of an opponent's choice he or she controls. Each of those creatures deals damage equal to its power to the other.|Arena|
18|1|1|177584|Land||<symbol>Tap</symbol> , Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.|Arid Mesa|
19|1|1|9769|Artifact||ocT, Sacrifice Ashnod's Coupon: Target player gets you target drink. Errata: You pay any costs for the drink.|Ashnod's Coupon|<symbol>0</symbol>
20|1|1|153457|Land||As Auntie's Hovel enters the battlefield, you may reveal a Goblin card from your hand. If you don't, Auntie's Hovel enters the battlefield tapped. <symbol>Tap</symbol> : Add  <symbol>Black</symbol>  or  <symbol>Red</symbol>  to your mana pool.|Auntie's Hovel|
21|1|1|3036|Land||<symbol>Tap</symbol> : Add  <symbol>1</symbol>  to your mana pool. <symbol>1</symbol> ,  <symbol>Tap</symbol> : Add  <symbol>White</symbol>  to your mana pool. <symbol>2</symbol> ,  <symbol>Tap</symbol> : Add  <symbol>Green</symbol>  or  <symbol>Blue</symbol>  to your mana pool.|Aysen Abbey|
22|1|1|97087|Land||Azorius Chancery enters the battlefield tapped. When Azorius Chancery enters the battlefield, return a land you control to its owner's hand. <symbol>Tap</symbol> : Add  <symbol>White</symbol> <symbol>Blue</symbol>  to your mana pool.|Azorius Chancery|
23|1|1|3570|Land||Bad River enters the battlefield tapped. <symbol>Tap</symbol> , Sacrifice Bad River: Search your library for an Island or Swamp card and put it onto the battlefield. Then shuffle your library.|Bad River|
24|1|1|202626|Land  — Swamp Mountain|||Badlands|
